narration,category
POS PURCHASE VIVO,Electronics
ACH DR OYO ROOMS,Travel
MANDATE-VLCC,Personal Care
UPI-P2A-037843272001-MONEYVIEW EMI,Loan EMI
POS PURCHASE BOB INTEREST CREDIT,Interest Income
IMPS-JIO BROADBAND-41189825,Utilities
UPI PAYMENT TATA CONSULTANCY,Income
UPI/OUT/924113244880/tommyhil@oksbi/Payment,Shopping
ECS-NETMEDS,Health
UPI-DR-413732918504-INCOME TAX PAYMENT,Tax
NEFT-TONI AND GUY-09138098,Personal Care
NEFT-HYDERABAD METRO-17264906,Transport
IMPS-GOOGLE ONE-20672092,Subscriptions
UPI-P2A-462666697020-GREAT LEARNING,Education
NACH-LENOVO-46321335,Electronics
NEFT-SPENCERS RETAIL-29483133,Groceries
POS/377898/DELHI METRO RAIL,Transport
NEFT-JIO BP-05661954,Fuel
POS PURCHASE OLA CABS,Transport
UPI-P2A-131844294062-HOMIGO,Rent
UPI-DR-179186980399-BONUS CREDIT,Income
IMPS/548347724698/BOB INTEREST CREDIT,Interest Income
UPI/OUT/685702202126/swiggy@okaxis/Payment,Food & Dining
UPI/DR/782036133186/EDUREKA,Education
UPI/DR/391786644865/SAVINGS ACCOUNT INTEREST,Interest Income
BILLDESK-ATM HDFC-540735,Cash Withdrawal
RTGS/476844409282/HP,Electronics
UPI/DR/260262127613/ATM ICICI,Cash Withdrawal
ACH DR AMAZON FRESH,Groceries
NACH-THYROCARE-16098189,Health
NEFT-INDRAPRASTHA GAS-43044997,Utilities
UPI/APOLLO PHARMACY/111471672533,Health
NEFT/480566378249/SMS ALERT CHARGES,Bank Charges
UPI/OUT/335449768364/himalaya@paytm/Payment,Personal Care
ECS-SPEED FUELS,Fuel
UPI/OUT/670988681807/microatm@kotak/Payment,Cash Withdrawal
POS/358296/BOUNCE,Transport
BILLDESK-ATM PNB-454612,Cash Withdrawal
UPI/GOLD GYM,Health
ECS-NEFT CHARGES,Bank Charges
UPI/DR/356475701199/PNB FD INTEREST,Interest Income
NACH-AXIS BANK EMI-69446361,Loan EMI
UPI-P2A-357827756933-IBM INDIA,Income
POS 060226 REBEL FOODS,Food & Dining
POS 234223 SCRIPBOX,Investment
NEFT-CARE HEALTH-12665809,Insurance
UPI/OUT/869934650637/papajohn@axl/Payment,Food & Dining
POS PURCHASE ABHIBUS,Travel
POS PURCHASE FLAT RENT TRANSFER,Rent
UPI/IOC FUEL STATION,Fuel
ACH DR IOC FUEL STATION,Fuel
ACH DR HINDUSTAN PETROLEUM,Fuel
UPI/ZARA/403569059688,Shopping
NEFT-MOBIKWIK TRANSFER-87385666,Transfer
UPI-DR-054501259168-ADANI GAS,Utilities
UPI/METROPOLIS HEALTHCARE/670548704211,Health
MANDATE-COGNIZANT,Income
POS 532109 VEDANTU,Education
BILLDESK-TONI AND GUY-196620,Personal Care
UPI/OUT/080120670437/tatacons@okhdfcbank/Payment,Income
UPI/DR/774185102961/HDFC ERGO,Insurance
NEFT/198232006437/PPF INTEREST CREDIT,Interest Income
POS PURCHASE CHENNAI METRO,Transport
UPI-DR-191794316253-ALLEN SOLLY,Shopping
POS PURCHASE VISTARA,Travel
IMPS-INCOME TAX PAYMENT-74920607,Tax
POS 076819 PLUM GOODNESS,Personal Care
UPI-P2A-459882966367-NESTAWAY,Rent
UPI-DR-413732918504-INCOME TAX PAYMENT,Tax
UPI-DR-639959677820-NYKAA,Personal Care
RTGS/444415821648/DELHI PROPERTY TAX,Tax
IMPS-FOREST ESSENTIALS-68129493,Personal Care
NACH-PVR CINEMAS-39068567,Entertainment
UPI/OUT/461816906479/angelone@paytm/Payment,Investment
RTGS/242188905746/PURPLLE,Personal Care
AUTO DEBIT MAHARASHTRA PT,Tax
BILLDESK-INDUSIND BANK EMI-959511,Loan EMI
NEFT/356711973836/ATM KOTAK,Cash Withdrawal
AUTO DEBIT ENRICH SALON,Personal Care
UPI PAYMENT BLINKIT PASS,Subscriptions
AUTO DEBIT GO FIRST,Travel
POS PURCHASE UDEMY,Education
RTGS/072008817283/MAX FASHION,Shopping
SIP DEBIT KOTAK MF,Investment
IMPS/850611783457/VEDANTU,Education
MANDATE-FUND TRANSFER,Transfer
IMPS/389577401480/INOX LEISURE,Entertainment
IMPS-ZOOM CAR-58440478,Transport
UPI/PHONEPE TRANSFER,Transfer
NEFT-VIVO-34781481,Electronics
UPI/DR/744304288293/ECS BOUNCE,Bank Charges
UPI PAYMENT LOCKER RENT CHARGES,Bank Charges
UPI-P2A-049280448483-CASH WITHDRAWAL BRANCH,Cash Withdrawal
ECS-LAZYPAY EMI,Loan EMI
UPI/ICLOUD STORAGE/513459987718,Subscriptions
ECS-SUN DIRECT,Utilities
NACH-FLAT RENT TRANSFER-58737144,Rent
NEFT-PURPLLE-99009180,Personal Care
UPI/JIOCINEMA,Entertainment
IMPS/080302654797/ATM SBI,Cash Withdrawal
POS/974951/GREEN TRENDS,Personal Care
ECS-HDFC BANK,Income
TATA SKY BILL 386255,Utilities
UPI/BLINKIT/199861556163,Groceries
ECS-IIT FEES,Education
NACH-ATM AXIS-64302496,Cash Withdrawal
UPI/SNAP FITNESS/503951465520,Health
UPI-DR-373081551097-FLIPKART,Income
UPI PAYMENT POORVIKA MOBILES,Electronics
UPI/OUT/416559801915/moneyvie@ybl/Payment,Loan EMI
UPI/DR/081221820708/BYJUS,Education
BILLDESK-RAPIDO-554023,Transport
MANDATE-MAGICBRICKS,Rent
BILLDESK-CESC-782143,Utilities
IMPS/737814722083/CASH COUNTER WITHDRAWAL,Cash Withdrawal
NEFT-ALLEN SOLLY-82648656,Shopping
ECS-ATM HDFC,Cash Withdrawal
UPI/ATM SBI/600838244177,Cash Withdrawal
UPI/OUT/491699660798/amazonpa@ybl/Payment,Transfer
NEFT/301504016007/RD INTEREST CREDIT,Interest Income
AUTO DEBIT MINIMUM BALANCE CHARGE,Bank Charges
UPI-P2A-158811683168-DELL,Electronics
NACH-FRANKLIN TEMPLETON-53953474,Investment
UPI/OUT/661044973366/oneplus@okhdfcbank/Payment,Electronics
IMPS/078456117409/DREAM11,Entertainment
MANDATE-ATM CASH WITHDRAWAL,Cash Withdrawal
NEFT/949685465753/FLIPKART,Income
IMPS-DOCSAPP-54855975,Health
UPI/KOTAK MAHINDRA EMI/490726490976,Loan EMI
POS/519432/LOCKER RENT CHARGES,Bank Charges
BILLDESK-SMART BAZAAR-013090,Groceries
MANDATE-TALWALKARS,Health
AUTO DEBIT HDFC ERGO,Insurance
UPI-P2A-010891873977-ALLEN CAREER INSTITUTE,Education
ACH DR ICICI BANK SAVINGS INTEREST,Interest Income
POS 655914 MEESHO,Shopping
NEFT-KOTAK MAHINDRA EMI-63943652,Loan EMI
ECS-HDFC BANK FD INTEREST,Interest Income
UPI/ZOSTEL/964156944302,Travel
POS/810990/WINZO GAMES,Entertainment
UPI-P2A-286182698753-EDUCATION LOAN EMI,Loan EMI
UPI/OUT/337667122090/microsof@okicici/Payment,Subscriptions
UPI-DR-393526813169-AMAZON,Shopping
POS PURCHASE HEALTHIANS,Health
UPI-DR-032588763262-MAX FASHION,Shopping
UPI/HEALTHIANS/901432989752,Health
ECS-KSRTC,Transport
RTGS/455574159426/VIVO,Electronics
UPI/SHELL INDIA/295411188296,Fuel
ECS-NOBROKER,Rent
IMPS-AMAZON PAY TRANSFER-58461498,Transfer
IMPS-CAR LOAN EMI-59626921,Loan EMI
NACH-TATA CONSULTANCY-54320324,Income
UPI/HCL TECHNOLOGIES,Income
BILLDESK-PROPERTY TAX-064262,Tax
NEFT-CARE HEALTH-12665809,Insurance
UPI/MY11CIRCLE,Entertainment
BILLDESK-IOCL OUTLET-930925,Fuel
SUN DIRECT ONLINE BILL PAYMENT,Utilities
ECS-TDS PAYMENT,Tax
IMPS/011820302129/ADIDAS,Shopping
UPI/OUT/204426477155/hotels.c@okaxis/Payment,Travel
POS/711464/TOPPR,Education
NACH-DSP MUTUAL FUND-41018616,Investment
IMPS-ACKO INSURANCE-97744361,Insurance
AUTO DEBIT CANARA BANK INTEREST,Interest Income
ECS-MANIPAL HOSPITALS,Health
NEFT/597695106389/LINKEDIN PREMIUM,Subscriptions
NACH-PANASONIC-32751935,Electronics
ECS-UNITED INDIA INSURANCE,Insurance
ACH DR MARKS AND SPENCER,Shopping
POS PURCHASE UTI MF,Investment
BILLDESK-NOKIA-303760,Electronics
BILLDESK-APPLE MUSIC-856968,Entertainment
UPI PAYMENT WOODLAND,Shopping
POS/651800/ATM PNB,Cash Withdrawal
POS 080611 AMAZON PAY TRANSFER,Transfer
UPI/DR/912190778634/PHARMEASY,Health
UPI-P2A-311482826560-FLIPKART,Shopping
UPI PAYMENT MOTILAL OSWAL MF,Investment
BILLPAY HATHWAY,Utilities
IMPS-REDBUS-11172056,Travel
UPI-DR-750470519503-DELHI JAL BOARD,Utilities
EMI DEBIT GOLD LOAN EMI,Loan EMI
NEFT/829686826759/SAVINGS ACCOUNT INTEREST,Interest Income
UPI/WHITEHAT JR,Education
POS/821544/RELIANCE INDUSTRIES,Income
NEFT-STAR HEALTH-38956573,Insurance
NACH-TOPPR-51838076,Education
NEFT-ATM CASH WITHDRAWAL-66603997,Cash Withdrawal
IMPS-FORTIS HEALTHCARE-73727035,Health
ECS-CULT FIT,Health
IMPS-UPGRAD-89000581,Education
NEFT/276229790483/RELIANCE PETROL,Fuel
POS 360105 SWIGGY INSTAMART,Groceries
NEFT/092760884598/DR LAL PATH LABS,Health
DEMAT PAYTM MONEY,Investment
ACH DR ATM-NFS WITHDRAWAL,Cash Withdrawal
AUTO DEBIT IMPS TRANSFER,Transfer
POS PURCHASE PHARMEASY,Health
UPI/DR/075002267969/GAANA,Entertainment
IMPS-NEFT CHARGES-56844468,Bank Charges
TDS PAYMENT 48543851,Tax
NEFT-SHELL INDIA-95423896,Fuel
MANDATE-FABHOTELS,Travel
NACH-SPENCERS RETAIL-90669426,Groceries
POS 743357 RELIANCE INDUSTRIES,Income
UPI-DR-621081705354-PHARMEASY,Health
RTGS/760043361720/PROPERTY TAX,Tax
UPI-DR-350145119104-AIRTEL DTH,Utilities
IMPS/936937607538/YULU BIKES,Transport
UPI/KWALITY WALLS/582545395714,Food & Dining
MANDATE-UNION BANK INTEREST,Interest Income
ACH DR NIKE,Shopping
IMPS/951877531146/NANDOS,Food & Dining
BILLDESK-SUN DIRECT-559613,Utilities
UPI-P2A-491888778502-SONY LIV,Entertainment
RTGS/186179792845/ICICI LOMBARD,Insurance
POS/111379/AMAZON PRIME VIDEO,Entertainment
NEFT-INFOSYS LTD-00927439,Income
INSURANCE PREMIUM DIGIT INSURANCE,Insurance
UPI-DR-402877554387-ECS BOUNCE,Bank Charges
NEFT-MINIMALIST INDIA-67952962,Personal Care
UPI/OUT/219543239386/patanjal@apl/Payment,Personal Care
NEFT/252853519568/INDIAN OIL,Fuel
UPI/OUT/160399557124/pvrcinem@oksbi/Payment,Entertainment
AUTO DEBIT CHENNAI METRO,Transport
NEFT-ETMONEY-46392597,Investment
UPI/FLIPKART GROCERY,Groceries
BILLDESK-BLINKIT-180750,Groceries
BILLDESK-MONEYVIEW EMI-331159,Loan EMI
UPI/DR/918923927094/TOPPR,Education
POS 495276 POORVIKA MOBILES,Electronics
UPI/DR/281616957328/ICICI PRUDENTIAL MF,Investment
NACH-MY11CIRCLE-32161266,Entertainment
UPI/OUT/872873052394/byjus@okicici/Payment,Education
POS 472686 MAHARASHTRA PT,Tax
IMPS/003995744763/SHOPPERS STOP,Shopping
NEFT-MAKEMYTRIP-73655482,Travel
UPI/LG ELECTRONICS/564360791204,Electronics
POS 348137 ADIDAS,Shopping
POS/447798/RESONANCE,Education
NACH-LIFESTYLE-35566426,Shopping
NSDL TIN 62965075,Tax
BILLDESK-AIRTEL BROADBAND-969280,Utilities
IMPS-ANGEL ONE-81649813,Investment
POS/909080/SMS ALERT CHARGES,Bank Charges
BILLDESK-WIPRO LTD-464702,Income
AUTO DEBIT ADVANCE TAX,Tax
NEFT-APPLE INDIA-05906396,Electronics
NEFT/SELF/41164919,Transfer
UPI-P2A-549527088571-LG ELECTRONICS,Electronics
NACH-TATA CLIQ-59218707,Shopping
NEFT-LATE PAYMENT FEE-35952844,Bank Charges
IMPS/038946628417/GUJARAT GAS,Utilities
IMPS-TSRTC-83002371,Transport
NEFT/461101556355/UDUPI PALACE,Food & Dining
POS/248131/KOTAK MF,Investment
UPI PAYMENT IOCL OUTLET,Fuel
UPI/RAPIDO BIKE/559078834744,Transport
BILLDESK-NETFLIX INDIA-714651,Subscriptions
POS 111127 IBM INDIA,Income
RTGS/994994670291/BLINKIT PASS,Subscriptions
ACH DR DUNZO DAILY,Groceries
UPI-P2A-270885450111-MICROSOFT,Electronics
AUTO DEBIT UDEMY BUSINESS,Subscriptions
POS 427856 ZEPTO,Groceries
ECS-NESTAWAY,Rent
IMPS/201253193819/BOUNCE CHARGES,Bank Charges
UPI/BOOKING.COM,Travel
UPI/NEFT CHARGES/184246602381,Bank Charges
IMPS-AIRTEL DTH-31252136,Utilities
ECS-IIT FEES,Education
RTGS/871990786814/KOTAK SAVINGS INTEREST,Interest Income
UPI-DR-851315635896-CARE HEALTH,Insurance
MANDATE-ATM KOTAK,Cash Withdrawal
UPI/DR/818966583097/ASUS,Electronics
POS/835684/RTGS TRANSFER,Transfer
UPI PAYMENT REALME,Electronics
ACH DR BEST BUSES,Transport
BILLDESK-TREEBO-760253,Travel
UPI/OUT/249352745311/swiggyin@okaxis/Payment,Groceries
UPI-DR-793217420488-EASYDAY,Groceries
UPI-P2A-072226573980-BEHROUZ BIRYANI,Food & Dining
BILLDESK-VEHICLE TAX-124159,Tax
AUTO DEBIT BIGBASKET,Groceries
NEFT-ATM HDFC-44150381,Cash Withdrawal
BILLDESK-KUVERA-898306,Investment
IMPS/762754444134/PPF INTEREST CREDIT,Interest Income
UPI-DR-514126974860-MOTILAL OSWAL MF,Investment
LOAN EMI MONEYVIEW EMI,Loan EMI
RTGS/269855210006/ACKO INSURANCE,Insurance
IMPS/677260362714/TATA CAPITAL EMI,Loan EMI
MANDATE-UDEMY,Education
UPI/OUT/128027281669/healthia@axl/Payment,Health
IMPS-DOCSAPP-54855975,Health
POS/362470/NEFT CHARGES,Bank Charges
ECS-PROCESSING FEE,Bank Charges
NEFT/885729344283/DIGIT INSURANCE,Insurance
UPI/OUT/804615102933/airbnbin@apl/Payment,Travel
IMPS/748876465895/FIRSTCRY,Shopping
POS/655614/FLIPKART,Income
IMPS-INDIGO AIRLINES-25205395,Travel
BILLDESK-GOLD LOAN EMI-471176,Loan EMI
UPI-DR-047022129514-POST OFFICE INTEREST,Interest Income
UPI/KOTAK SAVINGS INTEREST,Interest Income
UPI/OUT/790434950332/lotusher@okhdfcbank/Payment,Personal Care
UPI-P2A-039491184619-JIO BP,Fuel
IMPS/894166871032/YATRA,Travel
UPI/OUT/446118036815/spotifyp@ybl/Payment,Subscriptions
UPI PAYMENT VEDANTU,Education
ACH DR CROMA,Shopping
SELF TRANSFER 19689992,Transfer
BILLDESK-THYROCARE-490698,Health
UPI PAYMENT MERU CABS,Transport
NEFT-FLIPKART-77836266,Income
POS/632234/BIGBASKET,Groceries
ECS-LOOKS SALON,Personal Care
UPI PAYMENT BLINKIT PASS,Subscriptions
ACH DR ACER,Electronics
ACH DR SUGAR COSMETICS,Personal Care
BILLDESK-CINEPOLIS-554647,Entertainment
NEFT/191181674670/NARAYANA COACHING,Education
BILLDESK-YOUTUBE PREMIUM-228176,Entertainment
POS/552804/NON MAINTENANCE CHARGE,Bank Charges
NEFT/812444902668/BANGALORE METRO RAIL,Transport
IMPS/059115639159/ATM AXIS,Cash Withdrawal
ACH DR BOSCH,Electronics
ECS-HOUSE RENT PAYMENT,Rent
NEFT-SHOPPERS STOP-47045418,Shopping
AUTO DEBIT HOMIGO,Rent
NACH-MAX HEALTHCARE-24529737,Health
RTGS/737765465059/TPDDL,Utilities
ACH DR CASH WITHDRAWAL BRANCH,Cash Withdrawal
NEFT/663477999928/MONEYVIEW EMI,Loan EMI
NEFT-ATM KOTAK-13196424,Cash Withdrawal
UPI PAYMENT ROLLS MANIA,Food & Dining
NEFT-ATM HDFC-44150381,Cash Withdrawal
POS/064683/APOLLO PHARMACY,Health
RTGS/663997731418/ZEPTO,Groceries
UPI-P2A-701589920959-CULT FIT,Health
UPI/POST OFFICE INTEREST/818957155045,Interest Income
UPI-P2A-746272241784-PHARMEASY,Health
SIP/ANGEL ONE/75884215,Investment
UPI/UDUPI PALACE,Food & Dining
RTGS/429078401633/DUNKIN DONUTS,Food & Dining
MANDATE-SMS ALERT CHARGES,Bank Charges
NEFT-ATM PNB-38895415,Cash Withdrawal
NACH-PARADISE BIRYANI-35266293,Food & Dining
UPI PAYMENT HIMALAYA DRUG,Personal Care
AUTO DEBIT ATM SBI,Cash Withdrawal
IMPS/714664988699/MPHASIS,Income
UPI-P2A-634601528371-RTGS CHARGES,Bank Charges
ECS-SOCIETY MAINTENANCE,Rent
MUTUAL FUND GROWW,Investment
IMPS-TATA CLIQ-45414835,Shopping
NEFT-SANGEETHA MOBILES-55454509,Electronics
POS PURCHASE WESTSIDE,Shopping
UPI/AMAZON PAY TRANSFER,Transfer
ACH DR IMPS CHARGES,Bank Charges
AUTO DEBIT NIPPON INDIA MF,Investment
UPI/DR/045500311147/CHEQUE BOOK CHARGES,Bank Charges
POS PURCHASE GST PAYMENT,Tax
RTGS/040037323874/AIR INDIA,Travel
AUTO DEBIT ADITYA BIRLA HEALTH,Insurance
UPI/KOTAK LIFE/982640959699,Insurance
IMPS/316282517326/SPLITWISE SETTLEMENT,Transfer
NACH-HPCL OUTLET-43909097,Fuel
UPI-DR-013615909233-ASUS,Electronics
MANDATE-VISTARA,Travel
UPI/DR LAL PATH LABS,Health
UPI PAYMENT PNB METLIFE,Insurance
UPI/ACKO INSURANCE/451158945339,Insurance
UPI-P2A-391618120446-FABHOTELS,Travel
UPI/OUT/300226227075/kotakmah@oksbi/Payment,Loan EMI
ECS-BEST BUSES,Transport
POS/735017/SWIGGY ONE,Subscriptions
RTGS/909378453759/BMTC,Transport
IMPS/316420894750/EXCITEL,Utilities
RTGS/150549888758/ATM ICICI,Cash Withdrawal
ATM WDL 584890,Cash Withdrawal
POS 190020 SBI INTEREST CREDIT,Interest Income
POS/060229/KOTAK SAVINGS INTEREST,Interest Income
UPI PAYMENT GAANA,Entertainment
IMPS-SWIGGY ONE-84359354,Subscriptions
MANDATE-YULU BIKES,Transport
MANDATE-TATA CAPITAL EMI,Loan EMI
UPI/TWO WHEELER LOAN/127378997310,Loan EMI
NACH-GOLD LOAN EMI-03373676,Loan EMI
NACH-SOTC TRAVEL-63637420,Travel
POS PURCHASE SOCIETY MAINTENANCE,Rent
UPI PAYMENT HPCL OUTLET,Fuel
POS 615197 ICICI PRUDENTIAL LIFE,Insurance
ACH DR PAYTM WALLET,Transfer
AUTO DEBIT LOCKER RENT CHARGES,Bank Charges
TPDDL ONLINE BILL PAYMENT,Utilities
MANDATE-DSP MUTUAL FUND,Investment
ECS-DSP MUTUAL FUND,Investment
BILLDESK-IBM INDIA-289372,Income
UPI PAYMENT CHAAYOS,Food & Dining
IMPS-BHARAT PETROLEUM-59114331,Fuel
MANDATE-IMPS CHARGES,Bank Charges
POS PURCHASE PARADISE BIRYANI,Food & Dining
UPI-DR-394945032381-SLICE EMI,Loan EMI
UPI/OUT/138372460802/creditas@apl/Payment,Loan EMI
UPI/OUT/394801798652/pnbmetli@okhdfcbank/Payment,Insurance
UPI/OUT/389001151991/dufeespa@oksbi/Payment,Education
MANDATE-ICICI LOMBARD,Insurance
BILLDESK-GOOGLE ONE-432702,Subscriptions
POS PURCHASE NATURE BASKET,Groceries
EMI/HDFC BANK EMI/84651783,Loan EMI
MANDATE-IOC FUEL STATION,Fuel
NEFT-NAYARA ENERGY-47600035,Fuel
BILLDESK-IMPS TRANSFER-766186,Transfer
RTGS/050977320006/YOUTUBE PREMIUM,Entertainment
NEFT-IOC FUEL STATION-36512276,Fuel
UPI PAYMENT SLACK PRO,Subscriptions
POS/739728/YULU BIKES,Transport
NEFT/552446615949/SHELL INDIA,Fuel
UPI PAYMENT SELF ASSESSMENT TAX,Tax
NEFT/826086346289/TOMMY HILFIGER,Shopping
NEFT-GREAT LEARNING-98161273,Education
POS/371718/VOOT,Entertainment
UPI/OUT/557437073856/axisbank@ybl/Payment,Loan EMI
UPI/IMPS CHARGES,Bank Charges
MANDATE-BURGER KING,Food & Dining
UPI-DR-990383167925-REDCLIFFE LABS,Health
POS PURCHASE MAHARASHTRA PT,Tax
RTGS/389920368387/MPHASIS,Income
AUTO DEBIT MICROSOFT INDIA,Income
NEFT/836248044022/ADVANCE TAX,Tax
MANDATE-INCOME TAX REFUND,Tax
UPI/TATA CAPITAL EMI,Loan EMI
UPI/DR/842660181128/NOKIA,Electronics
RTGS/539969120428/BANSAL CLASSES,Education
UPI-DR-420593271166-ENRICH SALON,Personal Care
IMPS-LENOVO-22963336,Electronics
POS 934771 ATM KOTAK,Cash Withdrawal
UPI/XIAOMI,Electronics
UPI-DR-896400677362-CASH WITHDRAWAL BRANCH,Cash Withdrawal
MANDATE-LATE PAYMENT FEE,Bank Charges
AUTO DEBIT MAMAEARTH,Personal Care
RTGS/140589157316/BBMP PROPERTY TAX,Tax
IMPS/897323506201/TALWALKARS,Health
AUTO DEBIT BESCOM,Utilities
TDS PAYMENT 23046320,Tax
POS/840070/DEBIT CARD ANNUAL FEE,Bank Charges
POS/696797/MOTILAL OSWAL MF,Investment
UPI-DR-666710262010-BOUNCE CHARGES,Bank Charges
NACH-DISNEY HOTSTAR-18458358,Entertainment
UPI/FIITJEE,Education
ACH DR VISTARA,Travel
UPI-P2A-946004362345-BIGBASKET,Groceries
UPI-DR-633610072762-THYROCARE,Health
BILLDESK-AUTO RICKSHAW UPI-411880,Transport
IMPS-LIFESTYLE-27914374,Shopping
BILLDESK-AMAZON PAY TRANSFER-485185,Transfer
ECS-BPCL PUMP,Fuel
BILLDESK-DR LAL PATH LABS-248932,Health
ACH DR NATURE BASKET,Groceries
UPI-P2A-925768706448-LULU HYPERMARKET,Groceries
POS PURCHASE RELIANCE PETROL,Fuel
NACH-HERITAGE FRESH-82583831,Groceries
ECS-SAVINGS ACCOUNT INTEREST,Interest Income
ZOMATO PRO SUBSCRIPTION,Subscriptions
NEFT-ACCENTURE INDIA-38163244,Income
BILLDESK-DTC BUSES-114199,Transport
UPI/IMPS TRANSFER/524138982927,Transfer
NACH-IBM INDIA-00197256,Income
NACH-PROFESSIONAL TAX-15664513,Tax
RTGS/430588628508/GREEN TRENDS,Personal Care
UPI-DR-824463258906-METRO SHOES,Shopping
UPI/SELF/60164229,Transfer
BILLDESK-CHAI POINT-135188,Food & Dining
POS/651800/ATM PNB,Cash Withdrawal
NEFT-THOMAS COOK-46147674,Travel
ECS-KOTAK SAVINGS INTEREST,Interest Income
UPI-P2A-368148562092-WHIRLPOOL,Electronics
HOUSE RENT OYO LIFE,Rent
POS PURCHASE STAR BAZAAR,Groceries
BILLDESK-RELIANCE DIGITAL-234715,Shopping
IMPS/722568782289/ACCENTURE INDIA,Income
UPI-DR-961548641871-PRACTO,Health
UPI/HOUSE RENT PAYMENT/601752183228,Rent
IMPS-CASTROL-92575348,Fuel
IMPS/868880521860/ROLLS MANIA,Food & Dining
UPI/GO FIRST,Travel
UPI/OUT/674007199522/housing.@paytm/Payment,Rent
UPI/DR/271720238648/MINIMUM BALANCE CHARGE,Bank Charges
NEFT-SELF TRANSFER-84055185,Transfer
INSURANCE PREMIUM CARE HEALTH,Insurance
NEFT/768175546059/TCS LTD,Income
UPI/OUT/410128899790/tataaial@okicici/Payment,Insurance
ACH DR KSRTC,Transport
UPI/OUT/792244951553/blackber@axl/Payment,Shopping
POS/517725/SPENCERS RETAIL,Groceries
NEFT/979347272102/LAZYPAY EMI,Loan EMI
POS/160691/MAKEMYTRIP,Travel
IMPS-EXTRAMARKS-38972242,Education
BILLDESK-EDUREKA-689634,Education
NACH-ICICI PRUDENTIAL MF-32090924,Investment
UPI-DR-094541846868-ATM PNB,Cash Withdrawal
NEFT/523778626868/NAYARA ENERGY,Fuel
IMPS/472945602564/HINDUSTAN PETROLEUM,Fuel
ACH DR NEW INDIA ASSURANCE,Insurance
NEFT/287914204867/INDRAPRASTHA GAS,Utilities
BILLDESK-TATA CAPITAL EMI-729976,Loan EMI
MANDATE-FORTIS HEALTHCARE,Health
UPI/RELIANCE PETROL,Fuel
BILLDESK-ADIDAS-962269,Shopping
UPI PAYMENT ZOLO STAYS,Rent
ACH-EMI-EDUCATION LOAN EMI-01262862,Loan EMI
ATM WDL 432859,Cash Withdrawal
MANDATE-INFOSYS LTD,Income
UPI/COURSERA,Education
IMPS-NAYARA ENERGY-34552085,Fuel
POS/492846/FIRSTCRY,Shopping
ACH DR JIO BROADBAND,Utilities
POS 727527 HOMIGO,Rent
POS PURCHASE AMAZON INDIA,Income
POS PURCHASE NEFT CHARGES,Bank Charges
MANDATE-DU FEES PAYMENT,Education
UPI/ATM HDFC,Cash Withdrawal
UPI PAYMENT NIPPON INDIA MF,Investment
AUTO DEBIT ATM CASH WITHDRAWAL,Cash Withdrawal
UPI/TREEBO,Travel
ECS-ECS BOUNCE,Bank Charges
NEFT-APARTMENT MAINTENANCE-05676725,Rent
RTGS/108669336692/SLACK PRO,Subscriptions
UPI/OUT/916198742729/indianoi@ybl/Payment,Fuel
UPI/CROMA/029070658288,Shopping
UPI/OYO ROOMS/886731686781,Travel
UPI PAYMENT VEHICLE TAX,Tax
BILLDESK-ACCENTURE INDIA-407607,Income
ACH DR TATA SKY,Utilities
ECS-AMAZON INDIA,Income
ACH DR JIOCINEMA,Entertainment
AUTO DEBIT TATA NEU PLUS,Subscriptions
MANDATE-REBEL FOODS,Food & Dining
UPI-P2A-176791256160-NIVA BUPA,Insurance
POS/107487/HEALTHIANS,Health
UPI/DR/872164893686/REALME,Electronics
UPI PAYMENT CARE HEALTH,Insurance
ACH DR MAMAEARTH,Personal Care
UPI/POORVIKA MOBILES/402027262356,Electronics
POS 423075 MOTOROLA,Electronics
UPI/DOCSAPP,Health
IMPS-RAPIDO-32162189,Transport
NACH-GOOGLE INDIA-88421543,Income
ECS-PIZZA HUT,Food & Dining
ACH DR VAN HEUSEN,Shopping
RTGS/887760140185/IDFC FIRST EMI,Loan EMI
IMPS/614534166043/PSPCL,Utilities
ECS-KSRTC,Transport
ACH DR ZOOM CAR,Transport
POS PURCHASE INCOME TAX REFUND,Tax
UPI/OUT/751241994716/housr@okaxis/Payment,Rent
POS PURCHASE LOOKS SALON,Personal Care
BILLDESK-HOUSE RENT PAYMENT-938304,Rent
IMPS/278158817409/SELF TRANSFER,Transfer
UPI/NSC INTEREST/373048711126,Interest Income
UPI PAYMENT BOSE INDIA,Electronics
UPI/OUT/503584057402/purplle@axl/Payment,Personal Care
HOUSE RENT STANZALIVING,Rent
UPI/ECS BOUNCE,Bank Charges
POS 331598 ATM HDFC,Cash Withdrawal
UPI-DR-505586205037-IMPS CHARGES,Bank Charges
UPI/CAFE COFFEE DAY/517257965888,Food & Dining
UPI PAYMENT RTGS CHARGES,Bank Charges
NEFT-VIT UNIVERSITY-54384963,Education
RTGS/648007446916/LAKME SALON,Personal Care
INCOME TAX 6862154462,Tax
ECS-APPLE ONE,Subscriptions
ECS-NEFT CHARGES,Bank Charges
UPI/AMUL PARLOUR/571889617475,Food & Dining
NEFT/383574230506/REDBUS,Travel
POS 242587 KOTAK SAVINGS INTEREST,Interest Income
UPI PAYMENT MINIMALIST INDIA,Personal Care
POS PURCHASE UDEMY BUSINESS,Subscriptions
RENT TRANSFER STANZALIVING,Rent
SIP/ANGEL ONE/75884215,Investment
